year,title,authors,summary,category,reconstruction_error
2021,highly accurate protein structure prediction with alphafold,john jumper et al,proteins are essential to life and understanding their structure can facilitate a mechanistic understanding of their function through an enormous experimental effort12 34 the structures of around 100000 unique proteins have been determined5 but this represents a small fraction of the billions of known protein sequences67 structural coverage is bottlenecked by the months to years of painstaking effort required to determine a single protein structure accurate computational approaches are needed to address this gap and to enable large scale structural bioinformatics predicting the three dimensional structure that a protein will adopt based solely on its amino acid sequence the structure prediction component of the protein folding problem 8 has been an important open research problem for more than 50 years9 despite recent progress1011121314 existing methods fall far short of atomic accuracy especially when no homologous structure is available here we provide the first computational method that can regularly predict protein structures with atomic accuracy even in cases in which no similar structure is known we validated an entirely redesigned version of our neural network based model alphafold in the challenging 14th critical assessment of protein structure prediction casp14 15 demonstrating accuracy competitive with experimental structures in a majority of cases and greatly outperforming other methods underpinning the latest version of alphafold is a novel machine learning approach that incorporates physical and biological knowledge about protein structure leveraging multi sequence alignments into the design of the deep learning algorithm,ml_general,0.02680522150484071
2016,hybrid computing using a neural network with dynamic external memory,graves a et al,artificial neural networks are remarkably adept at sensory processing sequence learning and reinforcement learning but are limited in their ability to represent variables and data structures and to store data over long timescales owing to the lack of an external memory here we introduce a machine learning model called a differentiable neural computer dnc which consists of a neural network that can read from and write to an external memory matrix analogous to the random access memory in a conventional computer like a conventional computer it can use its memory to represent and manipulate complex data structures but like a neural network it can learn to do so from data when trained with supervised learning we demonstrate that a dnc can successfully answer synthetic questions designed to emulate reasoning and inference problems in natural language we show that it can learn tasks such as finding the shortest path between specified points and inferring the missing links in randomly generated graphs and then generalize these tasks to specific graphs such as transport networks and family trees when trained with reinforcement learning a dnc can complete a moving blocks puzzle in which changing goals are specified by sequences of symbols taken together our results demonstrate that dncs have the capacity to solve complex structured tasks that are inaccessible to neural networks without external read write memory,dl_rnn,0.028012122414083556
2021,an introduction to johnson lindenstrauss transforms,casper benjamin freksen,johnson lindenstrauss transforms are powerful tools for reducing the dimensionality of data while preserving key characteristics of that data and they have found use in many fields from machine learning to differential privacy and more this note explains what they are it gives an overview of their use and their development since they were introduced in the 1980s and it provides many references should the reader wish to explore these topics more deeply,ml_general,0.03666132690513847
2022,magnetic control of tokamak plasmas through deep reinforcement learning,jonas degrave et al,nuclear fusion using magnetic confinement in particular in the tokamak configuration is a promising path towards sustainable energy a core challenge is to shape and maintain a high temperature plasma within the tokamak vessel this requires high dimensional high frequency closed loop control using magnetic actuator coils further complicated by the diverse requirements across a wide range of plasma configurations in this work we introduce a previously undescribed architecture for tokamak magnetic controller design that autonomously learns to command the full set of control coils this architecture meets control objectives specified at a high level at the same time satisfying physical and operational constraints this approach has unprecedented flexibility and generality in problem specification and yields a notable reduction in design effort to produce new plasma configurations we successfully produce and control a diverse set of plasma configurations on the tokamak à configuration variable12 including elongated conventional shapes as well as advanced configurations such as negative triangularity and snowflake configurations our approach achieves accurate tracking of the location current and shape for these configurations we also demonstrate sustained droplets on tcv in which two separate plasmas are maintained simultaneously within the vessel this represents a notable advance for tokamak feedback control showing the potential of reinforcement learning to accelerate research in the fusion domain and is one of the most challenging real world systems to which reinforcement learning has been applied,dl_rl,0.030390750256837556
2012,deep neural networks for acoustic modeling in speech recognition the shared views of four research groups,g hinton et al,most current speech recognition systems use hidden markov models hmms to deal with the temporal variability of speech and gaussian mixture models gmms to determine how well each state of each hmm fits a frame or a short window of frames of coefficients that represents the acoustic input an alternative way to evaluate the fit is to use a feed forward neural network that takes several frames of coefficients as input and produces posterior probabilities over hmm states as output deep neural networks dnns that have many hidden layers and are trained using new methods have been shown to outperform gmms on a variety of speech recognition benchmarks sometimes by a large margin this article provides an overview of this progress and represents the shared views of four research groups that have had recent successes in using dnns for acoustic modeling in speech recognition,audio,0.027483181371346255
1990,the strength of weak learnability,robert e schapire,this paper addresses the problem of improving the accuracy of an hypothesis output by a learning algorithm in the distribution free pac learning model a concept class islearnable orstrongly learnable if given access to a source of examples of the unknown concept the learner with high probability is able to output an hypothesis that is correct on all but an arbitrarily small fraction of the instances the concept class isweakly learnable if the learner can produce an hypothesis that performs only slightly better than random guessing in this paper it is shown that these two notions of learnability are equivalent a method is described for converting a weak learning algorithm into one that achieves arbitrarily high accuracy this construction may have practical applications as a tool for efficiently converting a mediocre learning algorithm into one that performs extremely well in addition the construction has some interesting theoretical consequences including a set of general upper bounds on the complexity of any strong learning algorithm as a function of the allowed error ο,ml_general,0.025966735293310794
1991,bagging predictors,leo breiman,bagging predictors is a method for generating multiple versions of a predictor and using these to get an aggregated predictor the aggregation averages over the versions when predicting a numerical outcome and does a plurality vote when predicting a class the multiple versions are formed by making bootstrap replicates of the learning set and using these as new learning sets tests on real and simulated data sets using classification and regression trees and subset selection in linear regression show that bagging can give substantial gains in accuracy the vital element is the instability of the prediction method if perturbing the learning set can cause significant changes in the predictor constructed then bagging can improve accuracy,ml_general,0.026906094424849897
2001,random forests,leo breiman,random forests are a combination of tree predictors such that each tree depends on the values of a random vector sampled independently and with the same distribution for all trees in the forest the generalization error for forests converges a s to a limit as the number of trees in the forest becomes large the generalization error of a forest of tree classifiers depends on the strength of the individual trees in the forest and the correlation between them using a random selection of features to split each node yields error rates that compare favorably to adaboost y freund r schapire machine learning proceedings of the thirteenth international conference 148 156 but are more robust with respect to noise internal estimates monitor error strength and correlation and these are used to show the response to increasing the number of features used in the splitting internal estimates are also used to measure variable importance these ideas are also applicable to regression,ml_general,0.035863550596820414
1998,efficient backprop,yann lecun et al,the convergence of back propagation learning is analyzed so as to explain common phenomenon observed by practitioners many undesirable behaviors of backprop can be avoided with tricks that are rarely exposed in serious technical publications this paper gives some of those tricks and offers explanations of why they work many authors have suggested that second order optimization methods are advantageous for neural net training it is shown that most classical second order methods are impractical for large neural networks a few methods are proposed that do not have these limitations,ml_general,0.02701028718395331
2003,document clustering based on non negative matrix factorization,wei xu et al,in this paper we propose a novel document clustering method based on the non negative factorization of the term document matrix of the given document corpus in the latent semantic space derived by the non negative matrix factorization nmf each axis captures the base topic of a particular document cluster and each document is represented as an additive combination of the base topics the cluster membership of each document can be easily determined by finding the base topic the axis with which the document has the largest projection value our experimental evaluations show that the proposed document clustering method surpasses the latent semantic indexing and the spectral clustering methods not only in the easy and reliable derivation of document clustering results but also in document clustering accuracies,ml_general,0.03017299021666056
